"Message ID","Date","Event","Instrument","Action","Transect","Station","Cast","Latitude","Longitude","Seafloor","Author","Comment","Cruise","R2R_Event","dateTimeUTC","GPS_Time","dateTime8601","Revisions"
4,Fri  07 Jun 2024 12:52:30 +0000,"20240607.1252.001","CTD911","deploy",,"C2",," 35.700066"," -74.770236","No instruments found in /shipdata/cruise_cfg/current_cfg","sPrabhu1",,,"RR2407-SE-20240607.1252.001","20240607.1252","2024/06/07 12:52:28","2024-06-07T12:52:30+00:00"," & Fri Jun  7 13:24:13 2024"
5,Fri  07 Jun 2024 13:18:08 +0000,"20240607.1318.001","CTD911","maxDepth",,"C2",," 35.700051"," -74.770232","No instruments found in /shipdata/cruise_cfg/current_cfg","sPrabhu1",,,"RR2407-SE-20240607.1318.001","20240607.1318","2024/06/07 13:18:08","2024-06-07T13:18:08+00:00"," & Fri Jun  7 13:24:49 2024"
6,Fri  07 Jun 2024 13:38:32 +0000,"20240607.1338.001","CTD911","recover","NaN","C2","NaN"," 35.700073"," -74.770228","No instruments found in /shipdata/cruise_cfg/current_cfg","sPrabhu1",,"RR2407","20240607.1338.001","20240607.1338","2024/06/07 13:38:31","2024-06-07T13:38:32+00:00",
7,Fri  07 Jun 2024 17:18:49 +0000,"20240607.1718.001","CTD911","deploy","NaN","P6","NaN"," 35.762037"," -74.271253","No instruments found in /shipdata/cruise_cfg/current_cfg","sPrabhu1",,"RR2407","20240607.1718.001","20240607.1718","2024/06/07 17:18:48","2024-06-07T17:18:49+00:00",
8,Fri  07 Jun 2024 18:24:48 +0000,"20240607.1824.001","CTD911","maxDepth",,"P6",," 35.796329"," -74.234854","No instruments found in /shipdata/cruise_cfg/current_cfg","sPrabhu1",,,"RR2407-SE-20240607.1824.001","20240607.1822","2024/06/07 18:21:58","2024-06-07T18:22:00+00:00"," & Fri Jun  7 18:48:30 2024"
9,Fri  07 Jun 2024 19:24:21 +0000,"20240607.1922.001","CTD911","recover","NaN","P6","NaN"," 35.820120"," -74.208905","No instruments found in /shipdata/cruise_cfg/current_cfg","sPrabhu1",,"RR2407","20240607.1922.001","20240607.1924","2024/06/07 19:24:20","2024-06-07T19:24:21+00:00",
10,Sat  08 Jun 2024 02:47:14 +0000,"20240608.0246.001","CTD911","deploy","NaN","P5","NaN"," 36.000679"," -74.365116","No instruments found in /shipdata/cruise_cfg/current_cfg","lEnders",,"RR2407","20240608.0246.001","20240608.0106","2024/06/08 01:06:28","2024-06-08T01:06:28+00:00",
12,Sat  08 Jun 2024 02:48:34 +0000,"20240608.0248.001","CTD911","recover","NaN","P5","NaN"," 36.000558"," -74.365233","No instruments found in /shipdata/cruise_cfg/current_cfg","lEnders",,"RR2407","20240608.0248.001","20240608.0225","2024/06/08 02:25:43","2024-06-08T02:25:41+00:00",
16,Sat  08 Jun 2024 09:06:52 +0000,"20240608.0906.001","CTD911","deploy","NaN","P2","NaN"," 35.999674"," -74.533972","No instruments found in /shipdata/cruise_cfg/current_cfg","sPrabhu1",,"RR2407","20240608.0906.001","20240608.0906","2024/06/08 09:06:51","2024-06-08T09:06:52+00:00",
17,Sat  08 Jun 2024 09:23:02 +0000,"20240608.0923.001","CTD911","maxDepth","NaN","P5","NaN"," 36.000477"," -74.365323","No instruments found in /shipdata/cruise_cfg/current_cfg","lEnders",,"RR2407","RR2407-SE-20240608.0923.001","20240608.0146","2024/06/08 01:46:08","2024-06-08T01:46:06+00:00"," & Sat Jun  8 09:24:43 2024 & Sat Jun  8 10:53:15 2024"
18,Sat  08 Jun 2024 09:43:31 +0000,"20240608.0941.001","CTD911","maxDepth","NaN","P2","NaN"," 35.999667"," -74.533955","No instruments found in /shipdata/cruise_cfg/current_cfg","sPrabhu1",,"RR2407","20240608.0941.001","20240608.0943","2024/06/08 09:43:30","2024-06-08T09:43:31+00:00",
19,Sat  08 Jun 2024 10:18:05 +0000,"20240608.1017.001","CTD911","recover","NaN","P2","NaN"," 35.999679"," -74.533988","No instruments found in /shipdata/cruise_cfg/current_cfg","sPrabhu1",,"RR2407","20240608.1017.001","20240608.1018","2024/06/08 10:18:04","2024-06-08T10:18:05+00:00",
22,Sat  08 Jun 2024 13:00:04 +0000,"20240608.1300.001","CTD911","deploy",,"P4",," 36.000326"," -74.673899","No instruments found in /shipdata/cruise_cfg/current_cfg","sPrabhu1",,,"RR2407-SE-20240608.1300.001","20240608.1300","2024/06/08 13:00:03","2024-06-08T13:00:04+00:00"," & Sat Jun  8 13:07:05 2024"
23,Sat  08 Jun 2024 13:25:36 +0000,"20240608.1325.001","CTD911","maxDepth","NaN","P4","NaN"," 36.000228"," -74.673835","No instruments found in /shipdata/cruise_cfg/current_cfg","sPrabhu1",,"RR2407","20240608.1325.001","20240608.1325","2024/06/08 13:25:35","2024-06-08T13:25:36+00:00",
